x_mm,z_mm
4.150000,38.000000
4.150000,38.100000
4.150000,38.200000
4.150000,38.300000
4.150000,38.400000
4.150000,38.500000
4.150000,38.600000
4.150000,38.700000
4.150000,38.800000
4.150000,38.900000
4.150000,39.000000
4.050000,39.000000
3.950000,39.000000
3.850000,39.000000
3.750000,39.000000
3.650000,39.000000
3.550000,39.000000
3.450000,39.000000
3.350000,39.000000
3.250000,39.000000
3.150000,39.000000
3.050000,39.000000
2.950000,39.000000
2.850000,39.000000
2.750000,39.000000
2.650000,39.000000
2.550000,39.000000
2.450000,39.000000
2.350000,39.000000
2.250000,39.000000
2.150000,39.000000
2.050000,39.000000
1.950000,39.000000
1.850000,39.000000
1.750000,39.000000
1.650000,39.000000
1.550000,39.000000
1.450000,39.000000
1.350000,39.000000
1.250000,39.000000
1.150000,39.000000
1.050000,39.000000
0.950000,39.000000
0.850000,39.000000
0.750000,39.000000
0.650000,39.000000
0.550000,39.000000
0.450000,39.000000
0.350000,39.000000
0.250000,39.000000
0.150000,39.000000
0.050000,39.000000
-0.050000,39.000000
-0.150000,39.000000
-0.250000,39.000000
-0.350000,39.000000
-0.450000,39.000000
-0.550000,39.000000
-0.650000,39.000000
-0.750000,39.000000
-0.850000,39.000000
-0.950000,39.000000
-1.050000,39.000000
-1.150000,39.000000
-1.250000,39.000000
-1.350000,39.000000
-1.450000,39.000000
-1.550000,39.000000
-1.650000,39.000000
-1.750000,39.000000
-1.850000,39.000000
-1.950000,39.000000
-2.050000,39.000000
-2.150000,39.000000
-2.250000,39.000000
-2.350000,39.000000
-2.450000,39.000000
-2.550000,39.000000
-2.650000,39.000000
-2.750000,39.000000
-2.850000,39.000000
-2.950000,39.000000
-3.050000,39.000000
-3.150000,39.000000
-3.250000,39.000000
-3.350000,39.000000
-3.450000,39.000000
-3.550000,39.000000
-3.650000,39.000000
-3.750000,39.000000
-3.850000,39.000000
-3.950000,39.000000
-4.050000,39.000000
-4.150000,39.000000
