x_um,z_um
2111.650938,24592.735565
2019.294458,24585.119297
1926.937979,24577.503028
1834.581499,24569.886760
1742.225020,24562.270492
1649.868540,24554.654223
1557.512061,24547.037955
1465.155582,24539.421686
1372.799102,24531.805418
1280.442623,24524.189150
1300.736623,24615.460194
1321.030623,24706.731239
1341.324623,24798.002283
1361.618623,24889.273328
1381.912623,24980.544372
1402.206623,25071.815417
1422.500623,25163.086461
1442.794623,25254.357506
1463.088623,25345.628550
1483.382623,25436.899595
1528.346829,25499.329283
1573.311036,25561.758972
1618.275242,25624.188661
1663.239448,25686.618350
1687.185458,25783.508044
1711.131467,25880.397738
1735.077476,25977.287432
1759.023485,26074.177126
1782.969494,26171.066821
1806.915504,26267.956515
1830.861513,26364.846209
1854.807522,26461.735903
1878.753531,26558.625597
1902.699540,26655.515291
1926.645549,26752.404986
1950.591559,26849.294680
1974.537568,26946.184374
1998.483577,27043.074068
2022.429586,27139.963762
2046.375595,27236.853456
2070.321605,27333.743151
2094.267614,27430.632845
2118.213623,27527.522539
2142.159632,27624.412233
2166.105641,27721.301927
2190.051651,27818.191621
2213.997660,27915.081316
2237.943669,28011.971010
2261.889678,28108.860704
2285.835687,28205.750398
2309.781697,28302.640092
2333.727706,28399.529786
2357.673715,28496.419481
2381.619724,28593.309175
2405.565733,28690.198869
2429.511743,28787.088563
2453.457752,28883.978257
2477.403761,28980.867952
2501.349770,29077.757646
2525.295779,29174.647340
2549.241789,29271.537034
2573.187798,29368.426728
2597.133807,29465.316422
2621.079816,29562.206117
2645.025825,29659.095811
2668.971835,29755.985505
2692.917844,29852.875199
2716.863853,29949.764893
2740.809862,30046.654587
2764.755871,30143.544282
2788.701880,30240.433976
2812.647890,30337.323670
2836.593899,30434.213364
2860.539908,30531.103058
2884.485917,30627.992752
2908.431926,30724.882447
2932.377936,30821.772141
2956.323945,30918.661835
2980.269954,31015.551529
3004.215963,31112.441223
3028.161972,31209.330917
3052.107982,31306.220612
3076.053991,31403.110306
3100.000000,31500.000000
3096.507923,31600.000000
3093.015846,31700.000000
3089.523769,31800.000000
3086.031692,31900.000000
3082.539615,32000.000000
3079.047538,32100.000000
3075.555461,32200.000000
3072.063384,32300.000000
3068.571307,32400.000000
3065.079231,32500.000000
2982.539615,32500.000000
2900.000000,32500.000000
2900.000000,32600.000000
2900.000000,32700.000000
2900.000000,32800.000000
2900.000000,32900.000000
2900.000000,33000.000000
2900.000000,33100.000000
2900.000000,33200.000000
2900.000000,33300.000000
2900.000000,33400.000000
2900.000000,33500.000000
2900.000000,33600.000000
